,Compound,Date,Negative,Neutral,Positive,Tweets Ago,tweet,username
0,-0.2023,Fri Oct 05 07:08:00 +0000 2018,0.847,0.153,0.0,1,.@Toyota recalling 2.4M hydrid vehicles over stalling issue (via @FoxBusiness https://t.co/2GaLzCzHVv,@foxnews
1,0.0,Fri Oct 05 07:01:00 +0000 2018,1.0,0.0,0.0,2,"Senator @ChuckGrassley: ""This person is very well-qualified — a person who believes in the principles of due proces… https://t.co/9LWxcrAj5J",@foxnews
2,0.4019,Fri Oct 05 06:53:00 +0000 2018,0.748,0.0,0.252,3,"Report details 'vulnerabilities' in industries vital to national defense, US official says https://t.co/YzR86CtxTa",@foxnews
3,-0.6124,Fri Oct 05 06:45:00 +0000 2018,0.694,0.245,0.06,4,"Senator @OrrinHatch: ""I'm disappointed in my Democratic colleagues for what they're doing. There's no excuse for it… https://t.co/j7ny227I2F",@foxnews
4,0.4173,Fri Oct 05 06:38:00 +0000 2018,0.812,0.0,0.188,5,"September jobs report - will higher wages, more jobs attract workers? (via @FoxBusiness) https://t.co/OYqbd5Ca7f",@foxnews
5,0.3182,Fri Oct 05 06:31:00 +0000 2018,0.892,0.0,0.108,6,".@senatemajldr: ""What we know for sure is the @FBI report did not corroborate any of the allegations against Judge… https://t.co/EwDFqhsx1B",@foxnews
6,-0.0258,Fri Oct 05 06:23:02 +0000 2018,0.61,0.221,0.169,7,Actress-model @emrata tweeted Thursday that authorities detained her at a protest against the Supreme Court nominat… https://t.co/cEvxnuvqSK,@foxnews
7,0.0,Fri Oct 05 06:15:00 +0000 2018,1.0,0.0,0.0,8,"Senator @ChuckGrassley: ""Let the @FBI do what the FBI is hired to do and keep political interference out of it."" https://t.co/0mj4L6IUaX",@foxnews
8,-0.3612,Fri Oct 05 06:08:00 +0000 2018,0.865,0.135,0.0,9,.@BenAffleck breaks silence after completing third rehab stint: 'I am fighting for myself and my family' https://t.co/1E9JCShW2x,@foxnews
9,0.0,Fri Oct 05 06:01:46 +0000 2018,1.0,0.0,0.0,10,@FLOTUS Melania Trump visits a Kenyan elephant orphanage. https://t.co/2qprWC4bdg,@foxnews
10,0.7269,Fri Oct 05 06:01:00 +0000 2018,0.697,0.0,0.303,11,.@LindseyGrahamSC: “I’m confident the FBI did a good job. They were not hindered in any way.” https://t.co/2xfw9x8pTu,@foxnews
11,0.8316,Fri Oct 05 05:53:00 +0000 2018,0.495,0.077,0.428,12,North Carolina mom praises @olivegarden waitress for act of kindness: ‘I seriously admire you’ https://t.co/IcbkfGGFgz,@foxnews
12,0.0,Fri Oct 05 05:45:00 +0000 2018,1.0,0.0,0.0,13,"Sen. @LindseyGrahamSC: ""This is the defining moment in the 2018 election."" @IngrahamAngle https://t.co/VipLkkIz9W",@foxnews
13,-0.7096,Fri Oct 05 05:37:00 +0000 2018,0.753,0.247,0.0,14,Lion named Mufasa has face and paws hacked off as four other big cats found poisoned in wildlife reserve https://t.co/syPPtucPTr,@foxnews
14,0.0,Fri Oct 05 05:30:00 +0000 2018,1.0,0.0,0.0,15,"Sen. @LindseyGrahamSC on Brett Kavanaugh: ""He's going to get on the court."" @IngrahamAngle https://t.co/EMSKzVpTiQ",@foxnews
15,0.0,Fri Oct 05 05:23:00 +0000 2018,1.0,0.0,0.0,16,"Amid Kavanaugh probe, @Alyssa_Milano now says @BillClinton 'probably should've' faced sex misconduct investigation https://t.co/zTaLSXK3zO",@foxnews
16,0.0,Fri Oct 05 05:15:00 +0000 2018,1.0,0.0,0.0,17,".@KellyannePolls: ""Now it's time to vote."" @IngrahamAngle https://t.co/pJ6hSjnfb0",@foxnews
17,-0.0772,Fri Oct 05 05:08:00 +0000 2018,0.909,0.091,0.0,18,New US nuclear bombs and futuristic stealth aircraft to provide mind-boggling military might https://t.co/yIw0JYjLYb,@foxnews
